,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
3812,Mumbai Indians,Royal Challengers Bangalore,Mumbai,147,29,7,9.692307692307692,52.0,213
15725,Rajasthan Royals,Chennai Super Kings,Sharjah,175,16,4,10.096153846153847,39.0,216
24784,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,131,7,3,6.95575221238938,34.0,143
26697,Royal Challengers Bangalore,Kings XI Punjab,Durban,74,55,6,6.8307692307692305,25.0,168
49710,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,56,60,7,5.6,23.0,154
28941,Chennai Super Kings,Kings XI Punjab,Durban,96,33,5,6.620689655172414,28.0,116
35726,Kolkata Knight Riders,Mumbai Indians,Mumbai,105,27,5,6.774193548387097,46.0,147
8697,Kolkata Knight Riders,Kings XI Punjab,Kolkata,65,76,8,8.863636363636363,31.0,218
39215,Kolkata Knight Riders,Chennai Super Kings,Kolkata,128,17,6,7.456310679611651,28.0,158
29392,Chennai Super Kings,Kolkata Knight Riders,Kolkata,31,84,9,5.166666666666667,30.0,164
32146,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,30,83,7,4.864864864864865,23.0,130
24733,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,75,57,6,7.142857142857143,25.0,143
10367,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,92,17,4,5.359223300970874,27.0,136
16662,Kolkata Knight Riders,Rajasthan Royals,Dubai,48,79,9,7.024390243902439,37.0,174
54374,Kings XI Punjab,Kolkata Knight Riders,Kolkata,76,59,9,7.475409836065574,35.0,183
53521,Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,129,46,8,10.45945945945946,45.0,192
36941,Kings XI Punjab,Kolkata Knight Riders,Kolkata,60,59,8,5.901639344262295,36.0,134
47021,Sunrisers Hyderabad,Mumbai Indians,Dubai,118,29,8,7.78021978021978,46.0,172
55548,Mumbai Indians,Chennai Super Kings,Mumbai,144,16,6,8.307692307692308,42.0,187
35957,Chennai Super Kings,Royal Challengers Bangalore,Chennai,121,47,10,9.945205479452055,58.0,205
24836,Chennai Super Kings,Mumbai Indians,Mumbai,36,76,8,4.909090909090909,21.0,156
51849,Kings XI Punjab,Kolkata Knight Riders,Pune,112,30,5,7.466666666666667,34.0,155
15340,Delhi Capitals,Kings XI Punjab,Dubai,91,30,5,6.066666666666666,42.0,157
25706,Royal Challengers Bangalore,Chennai Super Kings,Chennai,44,53,6,3.9402985074626864,21.0,126
21801,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,79,46,8,6.405405405405405,33.0,142
2433,Sunrisers Hyderabad,Kolkata Knight Riders,Bangalore,60,61,9,6.101694915254237,34.0,128
37926,Kings XI Punjab,Chennai Super Kings,Chennai,74,63,9,7.7894736842105265,42.0,156
43753,Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,52,68,5,6.0,28.0,150
56054,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,191,11,6,10.513761467889909,57.0,227
20936,Mumbai Indians,Sunrisers Hyderabad,Sharjah,134,36,7,9.571428571428571,49.0,208
12332,Mumbai Indians,Rajasthan Royals,Jaipur,111,33,7,7.655172413793103,35.0,161
57271,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,109,36,7,7.785714285714286,45.0,185
2727,Mumbai Indians,Chennai Super Kings,Mumbai,154,7,6,8.176991150442477,42.0,165
21346,Mumbai Indians,Rajasthan Royals,Abu Dhabi,195,0,5,9.75,78.0,195
48083,Royal Challengers Bangalore,Rajasthan Royals,Bangalore,38,74,8,4.956521739130435,32.0,190
16718,Kolkata Knight Riders,Rajasthan Royals,Dubai,125,26,5,7.9787234042553195,36.0,174
24977,Kings XI Punjab,Rajasthan Royals,Chandigarh,82,63,10,8.631578947368421,46.0,221
2601,Kolkata Knight Riders,Mumbai Indians,Bangalore,101,17,2,5.883495145631068,32.0,107
9264,Kolkata Knight Riders,Delhi Capitals,Delhi,170,8,4,9.107142857142858,70.0,185
29652,Rajasthan Royals,Kolkata Knight Riders,Ahmedabad,67,72,8,8.375,40.0,168
11493,Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,156,5,6,8.139130434782608,40.0,173
43493,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,56,77,9,7.813953488372093,44.0,223
23817,Kolkata Knight Riders,Mumbai Indians,Kolkata,119,11,3,6.5504587155963305,42.0,137
39200,Kolkata Knight Riders,Chennai Super Kings,Kolkata,111,32,7,7.568181818181818,27.0,158
25587,Kings XI Punjab,Mumbai Indians,Mumbai,101,48,9,8.416666666666666,48.0,189
55515,Mumbai Indians,Chennai Super Kings,Mumbai,100,49,9,8.450704225352112,48.0,187
16679,Kolkata Knight Riders,Rajasthan Royals,Dubai,81,62,9,8.379310344827585,45.0,174
53420,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,66,82,9,10.421052631578947,55.0,111
44366,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,73,70,10,8.76,50.0,190
13694,Kolkata Knight Riders,Mumbai Indians,Kolkata,159,26,8,10.148936170212766,48.0,232
4780,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,62,53,7,5.552238805970149,25.0,132
51054,Kings XI Punjab,Mumbai Indians,Mumbai,59,82,10,9.31578947368421,45.0,177
17316,Chennai Super Kings,Delhi Capitals,Sharjah,87,50,8,7.457142857142857,45.0,179
29080,Mumbai Indians,Rajasthan Royals,Mumbai,172,22,7,10.53061224489796,59.0,212
55425,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,91,16,2,5.25,28.0,113
10075,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,79,59,9,7.770491803278689,28.0,205
36497,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,151,7,3,8.017699115044248,25.0,165
29345,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,178,10,8,9.709090909090909,52.0,203
52694,Mumbai Indians,Sunrisers Hyderabad,Mumbai,83,54,8,7.545454545454546,37.0,157
20913,Mumbai Indians,Sunrisers Hyderabad,Sharjah,91,58,8,8.806451612903226,48.0,208
5009,Sunrisers Hyderabad,Rajasthan Royals,Jaipur,58,69,9,6.823529411764706,33.0,151
13707,Kolkata Knight Riders,Mumbai Indians,Kolkata,196,13,8,10.990654205607477,73.0,232
14216,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,116,35,6,8.188235294117646,43.0,183
45717,Mumbai Indians,Royal Challengers Bangalore,Dubai,102,13,3,5.719626168224299,25.0,115
33155,Chennai Super Kings,Kings XI Punjab,Chandigarh,65,61,8,6.610169491525424,38.0,188
37608,Mumbai Indians,Kings XI Punjab,Mumbai,157,2,4,7.983050847457627,32.0,163
15281,Delhi Capitals,Kings XI Punjab,Dubai,22,87,7,4.0,18.0,157
